Testnet,Proposal #,Title,Status,Amount Asked,Amount Minted,Exchange Rate,$ amount,Category,Bounty,Reimbursed
Antioch,60,Community Bounty #4: Telegram Bot,ExecutionFailed,21000000,0,,,Bounties,4,
Antioch,61,Bounty 14: Submission 15-17,ExecutionFailed,2688100,0,,,Bounties,14,
Antioch,68,Resub: Bounty 14: Submission 15-17,Approved,2688100,2688100,,,Bounties,14,
Antioch,73,Prize pot for bounty 10 II,Approved,8128312,8128312,,,Bounties,10,
Antioch,74,Re: Community Bounty #4: Telegram Bot,Approved,21000000,21000000,,,Bounties,4,
Antioch,75,Bounty #12: Endpoints May/2021,Approved,5000000,5000000,,,Bounties,12,
Antioch,82,Bounty 11 - Comm Repo Banner #1,Approved,2824859,2824859,,,Bounties,11,
Antioch,83,Bounty 11 - Comm Repo Banner #2,Approved,2824859,2824859,,,Bounties,11,
Antioch,84,Prize pot for bounty 10 III,Approved,8500000,8500000,,,Bounties,10,
Antioch,85,Bounty 11 - Comm Repo Banner #3,Approved,2824859,2824859,,,Bounties,11,
Antioch,86,Reward for Bounty #9,Approved,1510700,1510700,,,Bounties,9,
Antioch,8,Resub: Hire for role: Bounty 10 Admin,Approved,540000,540000,,,Bounty Managers,,
Antioch,6,Resub: Com Repo Banner Competition Prop,Approved,1500000,1500000,,,Competitions,,
Antioch,7,Antioch - KPI 0.2 - Council Secretary,Approved,1500000,1500000,,,Informal Roles,,
Antioch,19,KPI 00.1 - Tokenomics Report,Approved,390000,390000,,,KPIs,,
Antioch,21,Antioch KPI 1.7,Cancelled,1800000,0,,,KPIs,,
Antioch,14,Forum Rewards Funding,Expired,3000000,0,,,Rewards,,
Antioch,23,Resub: Forum Rewards funding,Approved,3000000,3000000,,,Rewards,,N
Antioch,57,Council Survey Rewards,Cancelled,1000000,0,,,Rewards,,
Antioch,55,Test Proposal,Cancelled,10498600,0,,,Test,,
Antioch,1,,,,,,,,,
Antioch,2,,,,,,,,,
Antioch,3,,,,,,,,,
Antioch,4,,,,,,,,,
Antioch,5,,,,,,,,,
Antioch,11,,,,,,,,,
Antioch,12,,,,,,,,,
Antioch,13,,,,,,,,,
Antioch,15,,,,,,,,,
Antioch,17,,,,,,,,,
Antioch,18,,,,,,,,,
Antioch,20,,,,,,,,,
Antioch,22,,,,,,,,,
Antioch,24,,,,,,,,,
Antioch,25,,,,,,,,,
Antioch,26,,,,,,,,,
Antioch,28,,,,,,,,,
Antioch,29,,,,,,,,,
Antioch,30,,,,,,,,,
Antioch,31,,,,,,,,,
Antioch,32,,,,,,,,,
Antioch,33,,,,,,,,,
Antioch,36,,,,,,,,,
Antioch,38,,,,,,,,,
Antioch,39,,,,,,,,,
Antioch,42,,,,,,,,,
Antioch,43,,,,,,,,,
Antioch,44,,,,,,,,,
Antioch,45,,,,,,,,,
Antioch,46,,,,,,,,,
Antioch,47,,,,,,,,,
Antioch,48,,,,,,,,,
Antioch,49,,,,,,,,,
Antioch,51,,,,,,,,,
Antioch,52,,,,,,,,,
Antioch,53,,,,,,,,,
Antioch,54,,,,,,,,,
Antioch,59,,,,,,,,,
Antioch,62,,,,,,,,,
Antioch,63,,,,,,,,,
Antioch,64,,,,,,,,,
Antioch,65,,,,,,,,,
Antioch,66,,,,,,,,,
Antioch,67,,,,,,,,,
Antioch,69,,,,,,,,,
Antioch,70,,,,,,,,,
Antioch,71,,,,,,,,,
Antioch,72,,,,,,,,,
Antioch,76,,,,,,,,,
Antioch,77,,,,,,,,,
Antioch,78,,,,,,,,,
Antioch,79,,,,,,,,,
Antioch,80,,,,,,,,,
Antioch,81,,,,,,,,,
Antioch,87,,,,,,,,,
Antioch,88,,,,,,,,,
Antioch,89,,,,,,,,,
Antioch,90,,,,,,,,,
Antioch,91,,,,,,,,,
Antioch,92,,,,,,,,,
Antioch,93,,,,,,,,,
Antioch,94,,,,,,,,,
Antioch,95,,,,,,,,,
Antioch,96,,,,,,,,,
Antioch,97,,,,,,,,,
Antioch,98,,,,,,,,,
Antioch,99,,,,,,,,,
Antioch,100,,,,,,,,,
Antioch,101,,,,,,,,,
Antioch,102,,,,,,,,,
Antioch,103,,,,,,,,,
Antioch,104,,,,,,,,,
Antioch,105,,,,,,,,,
Antioch,106,,,,,,,,,
Antioch,107,,,,,,,,,
Antioch,108,,,,,,,,,
Antioch,109,,,,,,,,,
Antioch,110,,,,,,,,,
Antioch,111,,,,,,,,,
Antioch,112,,,,,,,,,
