Testnet,Proposal #,Title,Status,Amount Asked,Amount Minted,Exchange Rate,$ amount,Category,Bounty,WG,Reimbursed
Antioch,132,,,,,,,,,,
Alexandria,133,,,,,,,,,,
Antioch,133,,,,,,,,,,
Alexandria,134,,,,,,,,,,
Antioch,134,,,,,,,,,,
Alexandria,135,,,,,,,,,,
Antioch,135,,,,,,,,,,
Alexandria,136,KPI 11.3 - Appoint New Council Secretary,Approved,2000000,2000000,,,Informal Roles,,,
Antioch,136,,,,,,,,,,
Alexandria,137,KPI 10.2 - Council 3 - Tokenomics Report,Approved,385000,385000,,,Reports,,,
Antioch,137,,,,,,,,,,
Alexandria,138,Greeting telegram sticker,Approved,550000,550000,,,Bounties,5,,Y
Antioch,138,,,,,,,,,,
Alexandria,139,Telegram stickers,Approved,550000,550000,,,Bounties,5,,Y
Antioch,139,,,,,,,,,,
Alexandria,140,,,,,,,,,,
Antioch,140,,,,,,,,,,
Alexandria,141,,,,,,,,,,
Antioch,141,,,,,,,,,,
Alexandria,142,KPI 10.2 - Council 10 Report,Approved,500000,500000,,,Reports,,,
Antioch,142,,,,,,,,,,
Alexandria,143,Stickers,Approved,25000,25000,,,Bounties,5,,Y
Antioch,143,,,,,,,,,,
Antioch,144,Reward for Bounty #10,Approved,15270000,15270000,,,Bounties,10,,Y
Alexandria,144,,,,,,,,,,
Alexandria,145,Stickers Pack FunJoystream,Approved,550000,550000,,,Bounties,5,,Y
Antioch,145,,,,,,,,,,
Alexandria,146,Telegram stickers,Expired,550000,0,,,Bounties,5,,Y
Antioch,146,,,,,,,,,,
Alexandria,147,,,,,,,,,,
Antioch,147,,,,,,,,,,
Alexandria,148,,,,,,,,,,
Antioch,148,,,,,,,,,,
Alexandria,149,,,,,,,,,,
Antioch,149,,,,,,,,,,
Antioch,150,Bounty 18 spending proposal,Approved,4339600,4339600,,,Bounties,18,,Y
Alexandria,150,,,,,,,,,,
Alexandria,151,,,,,,,,,,
Antioch,151,,,,,,,,,,
Alexandria,152,Stickers Pack FunJoystream,Approved,550000,550000,,,Bounties,5,,Y
Antioch,152,Reward for Bounty #9,Canceled,4161000,0,,,Bounties,9,,
Antioch,153,Reward for Bounty #9,Approved,108078,108078,,,Bounties,9,,Y
Alexandria,153,,,,,,,,,,
Antioch,154,Payment for bounty 17 - Discord Vid Bot,Approved,4076086,4076086,,,Bounties,17,,Y
Alexandria,154,Banner (Community Repo),Approved,250000,250000,,,Bounties,11,,Y
Alexandria,155,JoystreamStats development (weeks 4-6),Approved,5000000,5000000,,,Tools,,,
Antioch,155,,,,,,,,,,
Alexandria,156,updating RuTranslation joy-* modules,Approved,30000,30000,,,Translation,,,
Antioch,156,,,,,,,,,,
Alexandria,157,Cooking with the Joystream,Approved,500000,500000,,,Community Rewards,,,
Antioch,157,,,,,,,,,,
Alexandria,158,,,,,,,,,,
Antioch,158,,,,,,,,,,
Alexandria,159,Telegram bot faucet,Approved,2000000,2000000,,,Tools,,,
Antioch,159,,,,,,,,,,
Alexandria,160,Community Bounty #11  #CheOmsk upd.,Canceled,2288300,0,,,Bounties,11,,Y
Antioch,160,,,,,,,,,,
Alexandria,161,Banner (Community Repo) Update*,Canceled,2000000,0,,,Bounties,11,,Y
Antioch,161,,,,,,,,,,
Alexandria,162,,,,,,,,,,
Antioch,162,,,,,,,,,,
Alexandria,163,Creating RUS guides on reporting,Approved,75000,75000,,,Translation,,,
Antioch,163,,,,,,,,,,
Alexandria,164,,,,,,,,,,
Antioch,164,,,,,,,,,,
Alexandria,165,Whitepaper in RUS + on Medium,Execution Failed,550000,0,,,Translation,,,
Antioch,165,,,,,,,,,,
Antioch,166,Bounty 15 payment,Approved,10302198,10302198,,,Bounties,15,,Y
Alexandria,166,Made a drawing in the style of joystream,Canceled,500000,0,,,Community Rewards,,,
Alexandria,167,updating RuTranslation page-* modules,Approved,250000,250000,,,Translation,,,
Antioch,167,,,,,,,,,,
Alexandria,168,,,,,,,,,,
Antioch,168,,,,,,,,,,
Alexandria,169,Move my youtube channel to Joystream.,Approved,125000,125000,,,Media,,,
Antioch,169,,,,,,,,,,
Antioch,170,Reward for Bounty #10,Approved,13300000,13300000,,,Bounties,10,,Y
Alexandria,170,"Bounty - "" Articles on Wikipedia""",Expired,3404200,0,,,Marketing,,,
Alexandria,171,node status widget,Approved,500000,500000,,,Tools,,,
Antioch,171,,,,,,,,,,
Alexandria,172,Script for installing node,Approved,500000,500000,,,Tools,,,
Antioch,172,,,,,,,,,,
Alexandria,173,,,,,,,,,,
Antioch,173,,,,,,,,,,
Alexandria,174,JoystreamStats development (week 7/21),Approved,5000000,5000000,,,Tools,,,
Antioch,174,,,,,,,,,,
Alexandria,175,Positive video of the future joystream,Expired,1000000,0,,,Marketing,,,
Antioch,175,,,,,,,,,,
Alexandria,176,New creative promotion act for Joystream,Expired,200000,0,,,Community Rewards,,,
Antioch,176,,,,,,,,,,
Alexandria,177,RUS guides and tutorials about Joystream,Approved,700000,700000,,,Translation,,,
Antioch,177,,,,,,,,,,
Alexandria,178,Exclusive stickers for telegram,Expired,550000,0,,,Bounties,11,,Y
Antioch,178,,,,,,,,,,
Alexandria,179,KPI 11.2 - Tokenomics Report,Approved,385000,385000,,,Reports,,,
Antioch,179,,,,,,,,,,
Alexandria,180,KPI 11.2 - Council Report,Approved,750000,750000,,,Reports,,,
Antioch,180,,,,,,,,,,
Alexandria,181,JoystreamStats APIv1 (weeks 8+9/21),Execution Failed,5000000,0,,,Tools,,,
Antioch,181,,,,,,,,,,
Alexandria,182,,,,,,,,,,
Antioch,182,,,,,,,,,,
Alexandria,183,,,,,,,,,,
Antioch,183,,,,,,,,,,
Alexandria,184,,,,,,,,,,
Antioch,184,,,,,,,,,,
Alexandria,185,,,,,,,,,,
Antioch,185,,,,,,,,,,
Alexandria,186,,,,,,,,,,
Antioch,186,,,,,,,,,,
Alexandria,187,KPI 12.3 - Appoint New Council Secretary,Approved,2000000,2000000,,,Informal Roles,,,
Antioch,187,,,,,,,,,,
Alexandria,188,KPI 11.4 - Late Report,Approved,4650000,4650000,,,KPI,,,
Antioch,188,,,,,,,,,,
Antioch,188,,,,,,,,,,
Antioch,189,Reward for Bounty #10,Approved,26439879,26439879,,,Bounties,10,,Y
Alexandria,189,,,,,,,,,,
Alexandria,190,,,,,,,,,,
Antioch,190,,,,,,,,,,
Alexandria,191,,,,,,,,,,
Antioch,191,,,,,,,,,,
Alexandria,192,,,,,,,,,,
Antioch,192,,,,,,,,,,
Alexandria,193,Bounty #12: Deploy Reliable Endpoints,Expired,4724700,0,,,Bounties,12,,Y
Antioch,193,,,,,,,,,,
Alexandria,194,FM launch questionnaire - KPI 12.4,Canceled,4811100,0,,,KPI,,,
Antioch,194,,,,,,,,,,
Alexandria,195,KPI 12.4 - FM launch questionnaire,Approved,1250000,1250000,,,KPI,,,
Antioch,195,,,,,,,,,,
Alexandria,196,Stickers,Approved,550000,550000,,,Bounties,11,,Y
Antioch,196,,,,,,,,,,
Alexandria,197,Re: JoystreamStats APIv1 (weeks 8+9/21),Approved,5000000,5000000,,,Tools,,,
Antioch,197,,,,,,,,,,
Antioch,198,Res: Operations - Endpoints Jun/2021,Approved,4016259,4016259,,,Bounties,12,,Y
Alexandria,198,Request for refund of missed payments,Approved,516950,516950,,,WG Missed Payments,,,
Alexandria,199,Faucet bot was updated,Approved,700000,700000,,,Tools,,,
Antioch,199,,,,,,,,,,
Alexandria,200,Application for the sticker contest,Approved,608272,608272,,,Bounties,11,,Y
Antioch,200,,,,,,,,,,
Alexandria,201,Draw Joystream,Expired,450000,0,,,Community Rewards,,,
Antioch,201,,,,,,,,,,
Alexandria,202,Joy stream flight to the moon),Expired,200000,0,,,Community Rewards,,,
Antioch,202,,,,,,,,,,
Alexandria,203,,,,,,,,,,
Antioch,203,,,,,,,,,,
